protocolo,data_abertura,servico,latitude,longitude,status,criticidade,descricao,bairro
SYN010000,2025-11-15 23:42:28,Iluminação Pública,-22.974229,-43.180239,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010001,2025-11-30 23:42:28,Iluminação Pública,-22.96945,-43.181709,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010002,2025-12-12 23:42:28,Conservação de Vias,-22.967072,-43.181926,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010003,2025-11-15 23:42:28,Segurança Pública,-22.973694,-43.180058,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010004,2025-11-20 23:42:28,Trânsito e Transporte,-22.973365,-43.178108,Aberto,Média,Reclamação sintética em Copacabana Central - Trânsito e Transporte,Copacabana Central
SYN010005,2025-11-30 23:42:28,Conservação de Vias,-22.975604,-43.181391,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010006,2025-12-12 23:42:28,Segurança Pública,-22.972122,-43.18453,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010007,2025-12-11 23:42:28,Conservação de Vias,-22.968473,-43.184996,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010008,2025-12-14 23:42:28,Segurança Pública,-22.969355,-43.176887,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010009,2025-11-22 23:42:28,Iluminação Pública,-22.975614,-43.185013,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010010,2025-11-24 23:42:28,Conservação de Vias,-22.972952,-43.177577,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010011,2025-11-18 23:42:28,Segurança Pública,-22.967954,-43.186764,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010012,2025-11-21 23:42:28,Iluminação Pública,-22.973504,-43.180777,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010013,2025-12-07 23:42:28,Iluminação Pública,-22.966794,-43.17852,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
